Date,SPY,RSP,^SPXEW,^SP500EW,NG=F,HO=F,RB=F,CL=F,BZ=F,XHB,ITB,^TNX
2012-06,106.48776245117188,39.07695388793945,2011.010009765625,2011.010009765625,2.8239998817443848,2.696000099182129,2.7272000312805176,84.95999908447266,97.80000305175781,19.06749153137207,15.357718467712402,1.659000039100647
2012-07,107.7474365234375,39.124271392822266,2014.06005859375,2014.06005859375,,,,,,18.790630340576172,14.80041790008545,1.4919999837875366
2012-08,110.44679260253906,40.32373046875,2070.5,2070.5,2.7990000247955322,3.169600009918213,3.105600118637085,96.47000122070312,114.56999969482422,21.06800651550293,16.600229263305664,1.562000036239624
2012-09,113.24674224853516,41.33731460571289,2118.570068359375,2118.570068359375,3.319999933242798,3.1693999767303467,3.3420000076293945,92.19000244140625,112.38999938964844,22.202211380004883,17.68873405456543,1.6369999647140503
2012-10,111.18585968017578,40.996681213378906,2100.199951171875,2100.199951171875,3.691999912261963,3.06820011138916,2.7618000507354736,86.23999786376953,108.69999694824219,23.284154891967773,18.76743507385254,1.6859999895095825
2012-11,111.8150863647461,41.519527435302734,2122.0,2122.0,3.561000108718872,3.041300058364868,2.761399984359741,88.91000366210938,111.2300033569336,23.534526824951172,18.739999771118164,1.6059999465942383
2012-12,112.81410217285156,42.4608154296875,2165.510009765625,2165.510009765625,3.3510000705718994,3.045099973678589,2.812000036239624,91.81999969482422,111.11000061035156,23.855051040649414,19.416332244873047,1.75600004196167
2013-01,118.58906555175781,45.22412109375,2305.219970703125,2305.219970703125,3.3389999866485596,3.1298000812530518,3.0257999897003174,97.48999786376953,115.55000305175781,25.845964431762695,21.499279022216797,1.9850000143051147
2013-02,120.10220336914062,45.66210174560547,2328.1298828125,2328.1298828125,3.4860000610351562,2.97189998626709,2.914599895477295,92.05000305175781,111.37999725341797,25.379623413085938,20.63673973083496,1.8880000114440918
2013-03,124.6625747680664,47.654972076416016,2425.429931640625,2425.429931640625,4.02400016784668,2.9154000282287598,3.115499973297119,97.2300033569336,110.0199966430664,26.980632781982422,21.92499542236328,1.8519999980926514
2013-04,127.05767822265625,48.46200942993164,2462.330078125,2462.330078125,4.3429999351501465,2.8733999729156494,2.8008999824523926,93.45999908447266,102.37000274658203,27.18708038330078,22.26456642150879,1.6749999523162842
2013-05,130.05743408203125,49.76445388793945,2524.169921875,2524.169921875,3.9839999675750732,2.79229998588562,2.7792000770568848,91.97000122070312,100.38999938964844,27.734588623046875,22.328805923461914,2.1640000343322754
2013-06,128.3218994140625,49.151981353759766,2492.5,2492.5,3.565000057220459,2.8798000812530518,2.752000093460083,96.55999755859375,102.16000366210938,26.42869758605957,20.542924880981445,2.4779999256134033
2013-07,134.95321655273438,51.919647216796875,2627.0400390625,2627.0400390625,3.446000099182129,3.043100118637085,3.0441999435424805,105.02999877929688,107.69999694824219,27.030576705932617,20.451128005981445,2.5929999351501465
2013-08,130.90560913085938,50.4034538269043,2549.260009765625,2549.260009765625,3.5810000896453857,3.1396000385284424,3.0183000564575195,107.6500015258789,114.01000213623047,25.647153854370117,18.872325897216797,2.749000072479248
2013-09,135.04830932617188,52.474998474121094,2646.949951171875,2646.949951171875,,,,,,27.512426376342773,20.520021438598633,2.615000009536743
2013-10,141.3019561767578,54.72046661376953,2757.969970703125,2757.969970703125,3.5810000896453857,2.9677999019622803,2.633699893951416,96.37999725341797,108.83999633789062,27.44050407409668,20.68536949157715,2.5420000553131104
2013-11,145.4898223876953,55.9357795715332,2816.659912109375,2816.659912109375,3.9539999961853027,3.047800064086914,2.6840999126434326,92.72000122070312,109.69000244140625,28.71721839904785,21.254858016967773,2.740999937057495
2013-12,149.26181030273438,57.54951477050781,2893.6298828125,2893.6298828125,,,,,,29.9588565826416,22.80474853515625,3.0260000228881836
2014-01,144.0006103515625,55.84521484375,2805.580078125,2805.580078125,4.942999839782715,3.279400110244751,2.62719988822937,97.48999786376953,106.4000015258789,28.40243148803711,22.80474853515625,2.6679999828338623
2014-02,150.55494689941406,58.82569122314453,2951.260009765625,2951.260009765625,4.609000205993652,3.0892999172210693,2.789799928665161,102.58999633789062,109.06999969482422,30.615617752075195,24.155397415161133,2.6579999923706055
2014-03,151.8038787841797,59.18282699584961,2965.610107421875,2965.610107421875,4.370999813079834,2.931999921798706,2.9110000133514404,101.58000183105469,107.76000213623047,29.315311431884766,22.270164489746094,2.7230000495910645
2014-04,152.85911560058594,59.40984344482422,2973.280029296875,2973.280029296875,4.815000057220459,2.9349000453948975,3.007699966430664,99.73999786376953,108.06999969482422,27.919343948364258,21.506982803344727,2.6480000019073486
2014-05,156.40643310546875,60.69097900390625,3032.9599609375,3032.9599609375,4.541999816894531,2.8845999240875244,2.996500015258789,102.70999908447266,109.41000366210938,28.369659423828125,22.095458984375,2.4570000171661377
2014-06,159.63543701171875,62.426780700683594,3114.89990234375,3114.89990234375,,,,,,29.538381576538086,22.822364807128906,2.5160000324249268
2014-07,157.49034118652344,60.97005844116211,3040.659912109375,3040.659912109375,3.8410000801086426,2.8866000175476074,2.8310999870300293,98.16999816894531,106.0199966430664,26.571014404296875,20.43889808654785,2.555999994277954
2014-08,163.70541381835938,63.5335578918457,3163.739990234375,3163.739990234375,4.065000057220459,2.8568999767303467,2.7827000617980957,95.95999908447266,103.19000244140625,28.456050872802734,22.150571823120117,2.3429999351501465
2014-09,161.44686889648438,61.8907585144043,3078.989990234375,3078.989990234375,4.120999813079834,2.647200107574463,2.586899995803833,91.16000366210938,94.66999816894531,26.736276626586914,20.715301513671875,2.507999897003174
2014-10,165.24920654296875,63.76081466674805,3169.18994140625,3169.18994140625,3.872999906539917,2.5144999027252197,2.1695001125335693,80.54000091552734,85.86000061035156,28.12775993347168,22.170621871948242,2.3350000381469727
2014-11,169.7887725830078,65.45934295654297,3246.739990234375,3246.739990234375,4.0879998207092285,2.230799913406372,1.9039000272750854,66.1500015258789,70.1500015258789,30.24208641052246,23.902273178100586,2.194000005722046
2014-12,169.35821533203125,65.64371490478516,3251.0400390625,3251.0400390625,2.8889999389648438,1.84660005569458,1.4352999925613403,53.27000045776367,57.33000183105469,30.87295913696289,23.8651065826416,2.1700000762939453
2015-01,164.34024047851562,63.724830627441406,3155.969970703125,3155.969970703125,2.690999984741211,1.6863000392913818,1.4151999950408936,48.2400016784668,52.9900016784668,31.026777267456055,23.36714744567871,1.6749999523162842
2015-02,173.57691955566406,67.37398529052734,3330.31005859375,3330.31005859375,,,,,,32.8817024230957,25.488082885742188,2.002000093460083
2015-03,170.8507843017578,66.7300796508789,3294.320068359375,3294.320068359375,,,,,,33.3903694152832,26.052663803100586,1.934000015258789
2015-04,172.5308837890625,67.00176239013672,3304.18994140625,3304.18994140625,2.750999927520752,1.9763000011444092,2.0497000217437744,59.630001068115234,66.77999877929688,31.343120574951172,23.920835494995117,2.0460000038146973
2015-05,174.74893188476562,67.48754119873047,3323.169921875,3323.169921875,2.6419999599456787,1.955299973487854,2.0857999324798584,60.29999923706055,65.55999755859375,32.556976318359375,24.566843032836914,2.0950000286102295
2015-06,171.19943237304688,65.95515441894531,3243.02001953125,3243.02001953125,2.8320000171661377,1.8866000175476074,2.089600086212158,59.470001220703125,63.59000015258789,33.2037467956543,25.353878021240234,2.3350000381469727
2015-07,175.06671142578125,66.59156799316406,3271.570068359375,3271.570068359375,2.7160000801086426,1.5839999914169312,1.840999960899353,47.119998931884766,52.209999084472656,34.0742073059082,26.25904083251953,2.2049999237060547
2015-08,164.39642333984375,62.954952239990234,3089.179931640625,3089.179931640625,2.688999891281128,1.6735999584197998,1.6404000520706177,49.20000076293945,54.150001525878906,32.85013198852539,25.63096809387207,2.200000047683716
2015-09,160.2015838623047,61.05293655395508,2983.429931640625,2983.429931640625,2.5239999294281006,1.5125999450683594,1.3894000053405762,45.09000015258789,48.369998931884766,31.06568717956543,24.124704360961914,2.059999942779541
2015-10,173.8283233642578,65.31904602050781,3196.719970703125,3196.719970703125,2.321000099182129,1.499400019645691,1.4049999713897705,46.59000015258789,49.560001373291016,32.43610763549805,25.132211685180664,2.1510000228881836
2015-11,174.46372985839844,65.51824188232422,3197.909912109375,3197.909912109375,,,,,,32.98970031738281,26.398527145385742,2.2179999351501465
2015-12,171.4485321044922,63.89141845703125,3117.360107421875,3117.360107421875,2.3369998931884766,1.1007000207901,1.2670999765396118,37.040000915527344,37.279998779296875,31.075334548950195,25.07464027404785,2.2690000534057617
2016-01,162.9126739501953,60.34004592895508,2939.969970703125,2939.969970703125,2.2980000972747803,1.0550999641418457,1.1030999422073364,33.619998931884766,34.7400016784668,27.747779846191406,22.511661529541016,1.930999994277954
2016-02,162.77809143066406,60.940277099609375,2966.159912109375,2966.159912109375,1.7109999656677246,1.0759999752044678,1.0497000217437744,33.75,35.970001220703125,28.06598663330078,22.659706115722656,1.7400000095367432
