key,P,D,CPI,CAPE,TRCAPE
189505,4.61,0.2017,6.945632562,17.080369553382397,21.46014976867637
189506,4.7,0.2,7.040773554,17.207413539783396,21.628273210067615
189507,4.72,0.1983,6.945632562,17.54601464874056,22.060403147384225
189508,4.79,0.1967,6.850483471,18.074072547241798,22.7283696447251
189509,4.82,0.195,6.850483471,18.200335946605467,22.888669564420344
189510,4.75,0.1933,6.850483471,17.944706622466477,22.56789252073991
189511,4.59,0.1917,6.850483471,17.342998991921693,21.812946556051376
189512,4.32,0.19,6.755342479,16.54841515666796,20.818648077628062
189601,4.27,0.1892,6.660193388,16.57622482856819,20.85855215609437
189602,4.45,0.1883,6.565052397,17.51540335263728,22.040592031270307
189603,4.38,0.1875,6.565052397,17.23236271229861,21.685007699222606
189604,4.42,0.1867,6.469903306,17.643699378130005,22.201842765217222
189605,4.4,0.1858,6.374754215,17.828266894232826,22.432252972027978
189606,4.32,0.185,6.279613223,17.777578616430464,22.36626040060286
189607,4.04,0.1842,6.279613223,16.637100103394587,20.933061531248498
189608,3.81,0.1833,6.279613223,15.703370546226878,19.764265040091683
189609,4.01,0.1825,6.279613223,16.544339943032018,20.824903901677764
189610,4.1,0.1817,6.469903306,16.43886680472589,20.69215179083557
189611,4.38,0.1808,6.660193388,17.08942524237112,21.506675169836154
189612,4.22,0.18,6.660193388,16.501404180590093,20.765764121097316
189701,4.22,0.18,6.469903306,17.026521282380557,21.42590894619321
189702,4.18,0.18,6.469903306,16.894025883254095,21.257060362377864
189703,4.19,0.18,6.469903306,16.95803071672104,21.33376024719598
189704,4.06,0.18,6.374754215,16.69685743473466,21.001906820502263
189705,4.08,0.18,6.279613223,17.047755129229383,21.43690630537203
189706,4.27,0.18,6.279613223,17.85049728069061,22.433196984133865
189707,4.46,0.18,6.279613223,18.65197575582029,23.420666317964155
189708,4.75,0.18,6.565052397,19.00639601051944,23.838146387477522
189709,4.98,0.18,6.755342479,19.37237029339779,24.2667489111082
189710,4.82,0.18,6.660193388,19.02803122390242,23.80721709774229
189711,4.65,0.18,6.660193388,18.35844809805022,22.94302165832023
189712,4.75,0.18,6.660193388,18.748757662525502,23.401121903654268
189801,4.88,0.1817,6.660193388,19.24900002181375,23.993240200753725
189802,4.87,0.1833,6.755342479,18.91813188800214,23.551290011325065
189803,4.65,0.185,6.755342479,18.042174923468675,22.437784146714662
189804,4.57,0.1867,6.755342479,17.705089426411774,21.998739622916386
189805,4.87,0.1883,7.231071736,17.595635274512816,21.839402613257256
189806,5.06,0.19,6.755342479,19.54481748054799,24.234946843797776
189807,5.08,0.1917,6.660193388,19.858943014167306,24.597156500082143
189808,5.27,0.1933,6.660193388,20.54491517915327,25.41705356257015
189809,5.26,0.195,6.660193388,20.442732862691297,25.263043091810584
189810,5.15,0.1967,6.660193388,19.94719982577366,24.627181229803433
189811,5.32,0.1983,6.660193388,20.52741632481129,25.319043685503765
189812,5.65,0.2,6.755342479,21.40363198544818,26.37185846063143
189901,6.08,0.2008,6.755342479,22.932807416487186,28.222949576087554
189902,6.31,0.2017,6.945632562,23.048117549980198,28.32599306959267
189903,6.4,0.2025,6.945632562,23.279682245508724,28.57038968466712
189904,6.48,0.2033,7.040773554,23.152421525686496,28.371517887505842
189905,6.21,0.2042,7.040773554,22.09126936083419,27.03336388465909
189906,6.07,0.205,7.135922645,21.21209192504683,25.92074319093127
189907,6.28,0.2058,7.231071736,21.561425634523125,26.307639638375708
189908,6.44,0.2067,7.326212727,21.726237373055454,26.466629854714558
189909,6.37,0.2075,7.611651901,20.591140514113782,25.04468382842009
189910,6.34,0.2083,7.706792893,20.15371346068661,24.476723296282405
189911,6.46,0.2092,7.801941983,20.1964575208023,24.49141414818265
189912,6.02,0.21,7.897091074,18.512649643600202,22.419855109110483
190001,6.1,0.2175,7.897091074,18.674275362444785,22.587334824329037
190002,6.21,0.225,7.992232066,18.703797417251437,22.59574910485338
190003,6.26,0.2325,7.992232066,18.775793421238376,22.658551692872035
190004,6.34,0.24,7.992232066,18.936402033322736,22.830122957226415
